pipe_genesymbol	gene_target_interaction_direction
HTR1A	-1
HTR1B	-1
HTR1D	-1
HTR1E	-1
HTR1F	-1
HTR2A	0
HTR2B	-1
HTR2C	-1
HTR3A	-1
HTR3B	-1
HTR3C	-1
HTR3D	-1
HTR3E	-1
HTR4	-1
HTR5A	-1
HTR5A-AS1	-1
HTR5BP	-1
HTR6	-1
HTR7	-1
HTR7P1	-1
HTRA1	-1
HTRA2	-1
HTRA3	-1
HTRA4	-1
MAOA	-1
MAOB	-1
CHRM2	1
ADORA1	-1
ADRA2A	1
ADRA2R	1
