structure_id	structure_name	acronym	loc	acronym_upper	Left_hemisphere	Right_hemisphere	Undefined_hemisphere	source	coldcuts_acronym	coldcuts_id	coldcuts_name	coldcuts
4245	PHG-cos_parahippocampal gyrus, Left, bank of the cos	PHG	cos	PHG	TRUE	FALSE	FALSE	ABA_dataset_adult	PHG	12162	parahippocampal gyrus	TRUE
4020	PrG-cs_precentral gyrus, Right, bank of the central sulcus	PrG	cs	PRG	FALSE	TRUE	FALSE	ABA_dataset_adult	PRG	146034892	perirhinal gyrus ( rostral part of FuGt)	TRUE
4725	PV-VIIB_VIIB, Left Paravermis	PV	VIIB	PV	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4787	Dt_Dentate Nucleus, Right	Dt	NA	DT	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4542	PrOR_Preoptic Region, Left	PrOR	NA	PROR	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4904	TP-i_temporal pole, Left, inferior aspect	TP	i	TP	TRUE	FALSE	FALSE	ABA_dataset_adult	TP	12146	temporal pole	TRUE
4709	Ve-VIIIA_VIIIA	Ve	VIIIA	VE	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4593	SO_Supraoptic Nucleus, Left	SO	NA	SO	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4057	POrG_posterior orbital gyrus, Left	POrG	NA	PORG	TRUE	FALSE	FALSE	ABA_dataset_adult	POrG	12124	posterior intermediate orbital gyrus	TRUE
4024	SFG-l_superior frontal gyrus, Left, lateral bank of gyrus	SFG	l	SFG	TRUE	FALSE	FALSE	ABA_dataset_adult	SFG	12115	superior frontal gyrus	TRUE
9156	SubC_nucleus subceruleus, Right	SubC	NA	SUBC	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9103	IC_Inferior Colliculus, Left	IC	NA	IC	TRUE	FALSE	FALSE	ABA_dataset_adult	IC	12305	inferior colliculus	TRUE
4135	STG-l_superior temporal gyrus, Left, lateral bank of gyrus	STG	l	STG	TRUE	FALSE	FALSE	ABA_dataset_adult	STG	12140	superior temporal gyrus	TRUE
